# 	 seed 1993
# 	 elapsed time 48.823533058166504
# 	 reward -677.0
# 	 discounted reward -214.95457041512822
,X_8,Y_8
0,0,0
1,0,1
2,1,1
3,0,1
4,0,0
5,0,1
6,1,1
7,0,1
8,0,0
9,0,1
10,0,0
11,0,1
12,0,0
13,0,1
14,0,0
15,0,1
16,1,1
17,0,1
18,1,1
19,0,1
20,1,1
21,0,1
22,1,1
23,0,1
24,1,1
25,0,1
26,0,0
27,0,1
28,0,0
29,0,1
30,0,0
31,0,1
32,0,0
33,0,1
34,0,0
35,0,1
36,1,1
37,0,1
38,0,0
39,0,1
40,0,0
41,0,1
42,0,0
43,0,1
44,1,1
45,0,1
46,1,1
47,0,1
48,0,0
49,0,1
50,0,0
51,0,1
52,1,1
53,0,1
54,1,1
55,0,1
56,1,1
57,0,1
58,0,0
59,0,1
60,0,0
