# 	 seed 1993
# 	 elapsed time 49.09757709503174
# 	 reward -679.0
# 	 discounted reward -215.74881700150135
,X_23,Y_23
0,0,0
1,0,1
2,1,1
3,0,1
4,1,1
5,0,1
6,0,0
7,0,1
8,0,0
9,0,1
10,0,0
11,0,1
12,0,0
13,0,1
14,0,0
15,0,1
16,0,0
17,0,1
18,0,0
19,0,1
20,1,1
21,0,1
22,0,0
23,0,1
24,0,2
25,0,1
26,0,0
27,0,1
28,0,0
29,0,1
30,0,0
31,0,1
32,0,0
33,0,1
34,0,0
35,0,1
36,0,0
37,0,1
38,1,1
39,0,1
40,0,0
41,0,1
42,1,1
43,0,1
44,1,1
45,0,1
46,1,1
47,0,1
48,0,0
49,0,1
50,1,1
51,0,1
52,0,0
53,0,1
54,0,0
55,0,1
56,0,0
57,0,1
58,0,0
59,0,1
60,1,1
