# 	 seed 1993
# 	 elapsed time 48.57308101654053
# 	 reward -676.0
# 	 discounted reward -214.66990579767037
,X_11,Y_11
0,0,0
1,0,1
2,0,0
3,0,1
4,1,1
5,0,1
6,0,0
7,0,1
8,1,1
9,0,1
10,0,0
11,0,1
12,1,1
13,0,1
14,0,0
15,0,1
16,0,0
17,0,1
18,1,1
19,0,1
20,1,1
21,0,1
22,0,0
23,0,1
24,0,0
25,0,1
26,0,2
27,0,1
28,1,1
29,0,1
30,0,0
31,0,1
32,1,1
33,0,1
34,0,0
35,0,1
36,0,0
37,0,1
38,1,1
39,0,1
40,1,1
41,0,1
42,1,1
43,0,1
44,0,0
45,0,1
46,1,1
47,0,1
48,0,0
49,0,1
50,0,0
51,0,1
52,0,0
53,0,1
54,0,0
55,0,1
56,0,0
57,0,1
58,1,1
59,0,1
60,0,0
